u,v,weight
923408,579888,1.9146
320432,242704,1.9146
261920,37728,1.9148
543200,178016,1.9164
663840,383520,1.9170
509712,122048,1.9171
853856,34912,1.9181
613232,569552,1.9199
84864,56624,1.9202
441072,923120,1.9239
703248,502448,1.9245
152544,64832,1.9265
370992,299120,1.9273
228096,834896,1.9337
415056,123600,1.9342
65104,48272,1.9344
535024,498800,1.9352
60352,51392,1.9385
7824,2176,1.9386
336528,411712,1.9390
55840,407376,1.9395
485728,265392,1.9407
587760,351536,1.9415
424016,274560,1.9423
364224,59984,1.9426
300304,160640,1.9428
954320,195520,1.9435
931872,409088,1.9498
460128,402240,1.9500
897152,372656,1.9506
743008,846352,1.9522
125296,25760,1.9523
483168,451920,1.9525
847872,63632,1.9526
212640,427536,1.9531
530976,565616,1.9533
742272,529600,1.9534
544864,321184,1.9541
287408,247376,1.9543
36176,14544,1.9556
25744,199280,1.9557
174304,781456,1.9611
600560,447680,1.9615
606736,431216,1.9618
237984,165584,1.9623
898480,198912,1.9626
494448,567776,1.9635
804272,130208,1.9660
893376,154192,1.9681
481616,5344,1.9689
393056,182128,1.9698
827552,836000,1.9738
621168,359936,1.9748
243600,142816,1.9759
850784,945312,1.9770
836832,78720,1.9770
491536,209712,1.9771
955600,860016,1.9779
850176,347376,1.9797
658416,304432,1.9802
895712,937728,1.9811
157952,127056,1.9827
52448,836464,1.9829
480816,43312,1.9842
208416,4496,1.9858
244272,83936,1.9863
564080,72800,1.9863
194224,80832,1.9911
656336,805200,1.9925
860304,597280,1.9933
917936,375264,1.9940
485376,92240,1.9942
547648,455520,1.9946
517536,641152,1.9947
538144,154560,1.9967
697200,31024,1.9973
47264,13088,1.9982
384384,76928,1.9993
747760,664992,2.0006
874720,787536,2.0006
490032,185952,2.0011
748944,324272,2.0012
852032,721776,2.0029
486848,192864,2.0034
725552,885760,2.0043
273760,994592,2.0048
924912,136272,2.0051
110672,44384,2.0064
313200,194112,2.0093
691440,9760,2.0094
699344,114672,2.0102
428640,909952,2.0104
346672,41312,2.0108
778576,203840,2.0118
172992,140544,2.0130
151776,471760,2.0145
794448,965424,2.0153
274736,709376,2.0167
63936,426144,2.0172
152896,144336,2.0174
404528,471664,2.0181
787136,513168,2.0185
601792,437760,2.0202
648432,164256,2.0205
204656,985312,2.0229
866528,601120,2.0232
615296,377584,2.0256
9472,5120,2.0280
680880,458016,2.0303
684496,152800,2.0320
38208,27840,2.0327
282336,519520,2.0344
510000,981776,2.0373
641584,916368,2.0380
278288,18656,2.0402
918480,615648,2.0444
411024,406640,2.0468
382048,3024,2.0472
621408,711552,2.0492
426192,15232,2.0493
220432,523360,2.0503
698496,14928,2.0509
753200,516736,2.0522
213392,92384,2.0525
392304,104240,2.0529
242496,886544,2.0530
348304,158384,2.0536
364288,920720,2.0549
473744,563376,2.0556
990560,808112,2.0567
217520,140912,2.0571
382096,452688,2.0574
241504,197120,2.0582
19856,551264,2.0588
674208,308112,2.0594
892608,880208,2.0604
926240,606848,2.0635
644464,205216,2.0651
482016,252112,2.0663
488032,980816,2.0672
401248,660528,2.0694
125360,640368,2.0702
157936,855584,2.0704
338992,234928,2.0731
765536,543008,2.0750
452928,151312,2.0754
127344,23968,2.0764
34848,33392,2.0790
536544,381552,2.0812
993952,491152,2.0817
759344,468128,2.0831
61024,60704,2.0838
912240,402656,2.0841
523584,10224,2.0852
296160,64432,2.0865
839728,73968,2.0895
323184,87024,2.0898
828688,205280,2.0918
409808,947456,2.0954
646368,486400,2.0963
997264,340464,2.0963
255616,163312,2.0984
875440,498288,2.1008
745440,22048,2.1020
827232,3680,2.1036
200176,25296,2.1064
985136,21376,2.1068
86416,581440,2.1083
60048,527792,2.1105
404912,218208,2.1109
469616,744048,2.1111
940592,186384,2.1113
839648,310272,2.1125
568992,82144,2.1128
824288,535472,2.1154
579024,29312,2.1157
890272,909168,2.1194
970176,223888,2.1195
40720,129280,2.1209
707952,75472,2.1215
650160,181168,2.1218
963056,700128,2.1224
214224,48288,2.1231
583200,982528,2.1233
649296,657984,2.1238
450256,831072,2.1238
55776,14560,2.1250
875888,404976,2.1260
76480,58144,2.1261
678624,161232,2.1270
78048,6096,2.1276
211680,742544,2.1292
48400,2080,2.1292
422336,122800,2.1297
703136,193872,2.1298
319504,96800,2.1306
416,891392,2.1312
95056,1904,2.1314
522528,543104,2.1319
533616,46400,2.1323
514160,748944,2.1331
549696,350656,2.1372
52576,81744,2.1376
685360,229136,2.1405
590000,398368,2.1413
69776,37008,2.1429
991152,297488,2.1454
824960,295456,2.1470
706208,256736,2.1499
129040,425408,2.1541
160336,135632,2.1544
695008,208736,2.1556
90464,557312,2.1582
598880,332944,2.1601
358512,178544,2.1608
945904,400912,2.1619
773440,523808,2.1633
3952,3440,2.1645
310944,175840,2.1655
701584,505920,2.1657
287392,151488,2.1657
800336,376848,2.1674
49824,482736,2.1675
61152,274000,2.1688
41712,23136,2.1689
321856,358224,2.1691
935968,763120,2.1699
